#If you recreated this, remember to remove the last ',' in the file
INSERT INTO STATE_DEPOSIT_OF_PHARMACEUTICALS(CITY, SDOP_RANGE, SDOP_CAPACITY, ADDRESS, SDOP_DILIVERY_TIME)VALUES( 
( 'Athens ', '75', '42049', '18is Oktobriou 100', '13' ),
( 'Athens ', '6', '99258', '25is Martiou 128', '11' ),
( 'Athens ', '59', '98981', '28is Oktobriou 3', '7' ),
( 'Athens ', '72', '99392', '2ou Suntagmatos Pezikou 107', '12' ),
( 'Athens ', '47', '49514', 'Aberof 78', '3' ),
( 'Athens ', '37', '51406', 'Abraam Konstantinou 105', '2' ),
( 'Athens ', '19', '45267', 'Agathonos 92', '12' ),
( 'Athens ', '6', '72679', 'Alutroton Patridon 26', '4' ),
( 'Athens ', '46', '43218', 'Amalias 102', '10' ),
( 'Athens ', '72', '45229', 'Ambrakias 121', '14' ),
( 'Athens ', '69', '33102', 'Ammohostou 38', '12' ),
( 'Thessaloniki ', '48', '82165', 'Amorgou 91', '8' ),
( 'Thessaloniki ', '69', '20960', 'Amfiktuonon 7', '2' ),
( 'Thessaloniki ', '4', '84078', 'Amfipoleos 31', '13' ),
( 'Thessaloniki ', '47', '86723', 'Agias Barbaras 143', '3' ),
( 'Thessaloniki ', '45', '79733', 'Agias Lauras 67', '11' ),
( 'Thessaloniki ', '10', '68546', 'Agias Paraskeuis 135', '10' ),
( 'Thessaloniki ', '71', '72149', 'Agiou Athanasiou 66', '3' ),
( 'Thessaloniki ', '31', '29038', 'Agiou Georgiou 89', '3' ),
( 'Thessaloniki ', '30', '95463', 'Agiou Grigoriou 17', '11' ),
( 'Thessaloniki ', '70', '48631', 'Agiou Konstantinou 2', '7' ),
( 'Thessaloniki ', '59', '72500', 'Agiou Louka 15', '6' ),
( 'Patras ', '40', '21728', 'Agiou Nektariou 63', '8' ),
( 'Patras ', '44', '66479', 'Agiou Nikolaou 95', '6' ),
( 'Patras ', '55', '15188', 'Agiou Trufonos 134', '6' ),
( 'Patras ', '50', '8388', 'Agion Anarguron 61', '11' ),
( 'Patras ', '55', '49344', 'Agnostou Stratioti 48', '11' ),
( 'Patras ', '17', '79989', 'Agrafon 1', '7' ),
( 'Patras ', '8', '53553', 'Athinon 13', '12' ),
( 'Patras ', '5', '86609', 'Aiginis 67', '5' ),
( 'Patras ', '14', '28002', 'Ainianos 112', '13' ),
( 'Patras ', '62', '20707', 'Ainianon 125', '7' ),
( 'Patras ', '20', '18698', 'Aiolou 108', '2' ),
( 'Piraeus ', '32', '87644', 'Aistrati 31', '12' ),
( 'Piraeus ', '69', '70282', 'Aishulou 2', '14' ),
( 'Piraeus ', '66', '79688', 'Akrita Louki 43', '3' ),
( 'Piraeus ', '79', '30628', 'Akriton 61', '2' ),
( 'Piraeus ', '12', '22380', 'Alamanas 22', '6' ),
( 'Piraeus ', '31', '29679', 'Alkibiadou 40', '7' ),
( 'Piraeus ', '24', '66225', 'Anaksagora 33', '13' ),
( 'Piraeus ', '59', '36537', 'Anapauseos 26', '13' ),
( 'Piraeus ', '5', '87734', 'Anastasiou Georgiou 129', '3' ),
( 'Piraeus ', '73', '55310', 'Andreadaki B. 148', '7' ),
( 'Piraeus ', '51', '60404', 'Androu 132', '13' ),
( 'Larissa ', '65', '25806', 'Androutsou Odussea 18', '4' ),
( 'Larissa ', '52', '94815', 'Anthilis 20', '7' ),
( 'Larissa ', '75', '41969', 'Anoikseos 55', '2' ),
( 'Larissa ', '26', '64726', 'Antahopoulou 90', '10' ),
( 'Larissa ', '74', '54667', 'Antigonis 74', '7' ),
( 'Larissa ', '74', '59370', 'Antikuras 125', '4' ),
( 'Larissa ', '28', '95595', 'Apeleutherosis 78', '4' ),
( 'Larissa ', '31', '44860', 'Apodimou Ellinismou 4', '2' ),
( 'Larissa ', '18', '2593', 'Apollonos 135', '5' ),
( 'Larissa ', '54', '53801', 'Apostolidi 136', '8' ),
( 'Larissa ', '80', '75695', 'Arahobis 43', '9' ),
( 'Heraklion ', '31', '20024', 'Argonauton 1', '13' ),
( 'Heraklion ', '25', '81501', 'Argous 139', '3' ),
( 'Heraklion ', '23', '83954', 'Argurokastrou 105', '6' ),
( 'Heraklion ', '36', '20612', 'Ardalari 103', '7' ),
( 'Heraklion ', '60', '20168', 'Areos 16', '13' ),
( 'Heraklion ', '32', '29977', 'Ariadnis 127', '13' ),
( 'Heraklion ', '47', '4610', 'Aristeidou 21', '3' ),
( 'Heraklion ', '21', '69906', 'Aristofanous 75', '12' ),
( 'Heraklion ', '48', '43753', 'Arkadiou 25', '7' ),
( 'Heraklion ', '44', '39268', 'Armenopoulou 139', '13' ),
( 'Heraklion ', '44', '2018', 'Artemidos 135', '8' ),
( 'Peristeri ', '71', '97544', 'Artis 47', '7' ),
( 'Peristeri ', '59', '89641', 'Arhiepiskopou Makariou 5', '1' ),
( 'Peristeri ', '20', '54343', 'Arhimidous 52', '7' ),
( 'Peristeri ', '71', '51201', 'Asklipiou 133', '13' ),
( 'Peristeri ', '13', '33705', 'Asopou 82', '7' ),
( 'Peristeri ', '9', '32057', 'Atreidon 15', '14' ),
( 'Peristeri ', '45', '65308', 'Aulidos 106', '6' ),
( 'Peristeri ', '58', '99016', 'Afanos 12', '12' ),
( 'Peristeri ', '10', '69057', 'Ahaion 58', '4' ),
( 'Peristeri ', '3', '36941', 'Ahilleos 80', '13' ),
( 'Peristeri ', '1', '68573', 'Balassi 38', '14' ),
( 'Kallithea ', '77', '65406', 'Balaoritou Aristotelous 132', '1' ),
( 'Kallithea ', '79', '84054', 'Bambakari Markou 7', '6' ),
( 'Kallithea ', '34', '3412', 'Bardousion 123', '7' ),
( 'Kallithea ', '20', '45759', 'Barnali Kosta 7', '11' ),
( 'Kallithea ', '15', '29207', 'Barsou G. 141', '1' ),
( 'Kallithea ', '40', '12500', 'Basakari 123', '2' ),
( 'Kallithea ', '24', '21403', 'Basileiou P. 49', '11' ),
( 'Kallithea ', '19', '23236', 'Basilikon 115', '2' ),
( 'Kallithea ', '42', '71856', 'Belissariou 41', '14' ),
( 'Kallithea ', '77', '24531', 'Beloudou 2', '6' ),
( 'Kallithea ', '38', '39623', 'Belouhioti Ari 69', '10' ),
( 'Acharnes ', '16', '81020', 'Benizelou Eleutheriou 121', '10' ),
( 'Acharnes ', '67', '45548', 'Bermiou 76', '6' ),
( 'Acharnes ', '64', '39194', 'Binianis 119', '6' ),
( 'Acharnes ', '47', '30431', 'Blahaki 116', '1' ),
( 'Acharnes ', '31', '22788', 'Blahakou P. 74', '9' ),
( 'Acharnes ', '1', '1139', 'Blahogianni Gianni 126', '4' ),
( 'Acharnes ', '17', '99519', 'Bolou 112', '3' ),
( 'Acharnes ', '22', '74130', 'Boudonitsas 8', '7' ),
( 'Acharnes ', '53', '58797', 'Brettakou Nikiforou 110', '3' ),
( 'Acharnes ', '78', '3770', 'Buronos 27', '12' ),
( 'Acharnes ', '14', '30462', 'Gaitanou 65', '12' ),
( 'Kalamaria ', '0', '61129', 'Galanou K. 86', '1' ),
( 'Kalamaria ', '56', '76944', 'Galinou 71', '5' ),
( 'Kalamaria ', '73', '59799', 'Gennimata Giorgou 61', '8' ),
( 'Kalamaria ', '36', '27119', 'Giannakopoulou 51', '6' ),
( 'Kalamaria ', '70', '88050', 'Giannakoura 121', '3' ),
( 'Kalamaria ', '10', '99555', 'Giannitsioti I. 3', '12' ),
( 'Kalamaria ', '20', '90869', 'Gkali N. 28', '5' ),
( 'Kalamaria ', '56', '60547', 'Gkionas 135', '11' ),
( 'Kalamaria ', '52', '3686', 'Gkoura 113', '7' ),
( 'Kalamaria ', '35', '40699', 'Glinou D. 53', '14' ),
( 'Kalamaria ', '39', '99393', 'Gorgopotamou 120', '12' ),
( 'Nikaia ', '37', '35271', 'Grabias 62', '12' ),
( 'Nikaia ', '80', '48434', 'Granitsa Stefanou 148', '7' ),
( 'Nikaia ', '2', '47578', 'Grebenon 108', '9' ),
( 'Nikaia ', '67', '91213', 'Grigoriou 109', '7' ),
( 'Nikaia ', '67', '21960', 'Grigoropoulou 73', '13' ),
( 'Nikaia ', '33', '90994', 'Dabaki 146', '14' ),
( 'Nikaia ', '49', '23419', 'Damastas 42', '2' ),
( 'Nikaia ', '21', '92687', 'Dardioti 132', '6' ),
( 'Nikaia ', '46', '57449', 'Debesiadi 127', '9' ),
( 'Nikaia ', '16', '2204', 'Dedousi Leosthenous 124', '9' ),
( 'Nikaia ', '41', '53998', 'Deligianni 118', '3' ),
( 'Glyfada ', '40', '76328', 'Delfon 116', '7' ),
( 'Glyfada ', '57', '16531', 'Derbenakion 37', '5' ),
( 'Glyfada ', '34', '71220', 'Deukalionos 7', '9' ),
( 'Glyfada ', '7', '77191', 'Diianeiras 11', '12' ),
( 'Glyfada ', '41', '40327', 'Diifobou 93', '13' ),
( 'Glyfada ', '44', '20548', 'Dimokratias, Leoforos 99', '14' ),
( 'Glyfada ', '78', '86408', 'Dimolioulia 38', '9' ),
( 'Glyfada ', '61', '13269', 'Dimoula 8', '5' ),
( 'Glyfada ', '64', '44540', 'Diakou Athanasiou 84', '10' ),
( 'Glyfada ', '8', '1985', 'Didumoteihou 33', '5' ),
( 'Glyfada ', '51', '42640', 'Dionusou 113', '7' ),
( 'Volos ', '19', '7643', 'Distomou 16', '3' ),
( 'Volos ', '45', '88136', 'Doiranis 120', '8' ),
( 'Volos ', '59', '78765', 'Dolopon 134', '10' ),
( 'Volos ', '55', '71620', 'Doulkari 110', '4' ),
( 'Volos ', '17', '82636', 'Dragatsaniou 24', '2' ),
( 'Volos ', '65', '37270', 'Drosopoulou Ioanni 137', '14' ),
( 'Volos ', '16', '22160', 'Duobounioti 132', '14' ),
( 'Volos ', '47', '18771', 'Dodonis 117', '1' ),
( 'Volos ', '75', '65467', 'Doriton 111', '7' ),
( 'Volos ', '50', '69053', 'Dorou 38', '13' ),
( 'Volos ', '47', '67245', 'Ekabis 31', '14' ),
( 'Ilio ', '39', '81337', 'Ekklision 129', '9' ),
( 'Ilio ', '71', '92082', 'Ektoros 136', '4' ),
( 'Ilio ', '18', '58166', 'Elassona Hr. 45', '5' ),
( 'Ilio ', '43', '102', 'Eleutherias, Leoforos 125', '4' ),
( 'Ilio ', '43', '50030', 'Eleusinos 81', '9' ),
( 'Ilio ', '8', '22044', 'Elikonos 128', '14' ),
( 'Ilio ', '4', '6290', 'Eluti Odussea 45', '7' ),
( 'Ilio ', '55', '34205', 'Epigonou 150', '5' ),
( 'Ilio ', '74', '89396', 'Epidaurou 17', '6' ),
( 'Ilio ', '77', '13743', 'Episminagou Mpesleme 131', '10' ),
( 'Ilio ', '75', '63081', 'Eptanisou 142', '4' ),
( 'Ilioupoli ', '69', '66722', 'Ermionis 63', '8' ),
( 'Ilioupoli ', '5', '42518', 'Eruthrou Staurou 124', '11' ),
( 'Ilioupoli ', '1', '2536', 'Eslin 142', '13' ),
( 'Ilioupoli ', '19', '12221', 'Esperidon 116', '11' ),
( 'Ilioupoli ', '63', '83858', 'Euaggelistrias 138', '12' ),
( 'Ilioupoli ', '37', '89134', 'Euboias 146', '14' ),
( 'Ilioupoli ', '65', '6920', 'Euzonon 39', '11' ),
( 'Ilioupoli ', '1', '95764', 'Euthumiou 38', '6' ),
( 'Ilioupoli ', '6', '76380', 'Eukleidou 96', '4' ),
( 'Ilioupoli ', '69', '52865', 'Euripidou 139', '11' ),
( 'Ilioupoli ', '44', '41064', 'Eurutanias 140', '13' ),
( 'Keratsini ', '15', '64854', 'Eutaksia Ioanni 80', '7' ),
( 'Keratsini ', '28', '85631', 'Zaimi 69', '7' ),
( 'Keratsini ', '46', '11596', 'Zakunthou 72', '13' ),
( 'Keratsini ', '28', '56184', 'Zaloggou 96', '1' ),
( 'Keratsini ', '75', '77297', 'Zafeiri 86', '12' ),
( 'Keratsini ', '75', '91181', 'Zormpa 51', '12' ),
( 'Keratsini ', '29', '75213', 'Ilektras 40', '9' ),
( 'Keratsini ', '80', '97184', 'Iliou 36', '8' ),
( 'Keratsini ', '23', '63277', 'Iniohou 125', '2' ),
( 'Keratsini ', '46', '94746', 'Irakleias 76', '9' ),
( 'Keratsini ', '37', '3262', 'Irakleous 41', '10' ),
( 'Evosmos ', '41', '20831', 'Iras 31', '4' ),
( 'Evosmos ', '72', '10082', 'Irodotou 5', '10' ),
( 'Evosmos ', '25', '98118', 'Iroon Polutehneiou 40', '13' ),
( 'Evosmos ', '57', '46503', 'Iroon 12', '2' ),
( 'Evosmos ', '31', '87857', 'Isaia 35', '9' ),
( 'Evosmos ', '72', '38608', 'Isiodou 107', '5' ),
( 'Evosmos ', '55', '29246', 'Ifaistou 103', '13' ),
( 'Evosmos ', '28', '62357', 'THemistokleous 138', '10' ),
( 'Evosmos ', '41', '80448', 'THeodoratou 121', '13' ),
( 'Evosmos ', '68', '56927', 'THermopulon 20', '6' ),
( 'Evosmos ', '33', '82383', 'THespieon 48', '11' ),
( 'Chalandri ', '21', '14991', 'THessalias 49', '7' ),
( 'Chalandri ', '22', '74673', 'THetidos 133', '2' ),
( 'Chalandri ', '2', '38354', 'THibon 110', '12' ),
( 'Chalandri ', '23', '61456', 'THumaton Emfuliou Polemou 48', '10' ),
( 'Chalandri ', '47', '91774', 'Ierolohiton 11', '10' ),
( 'Chalandri ', '60', '84730', 'Ithakis 63', '10' ),
( 'Chalandri ', '42', '63436', 'Ikarias 76', '2' ),
( 'Chalandri ', '65', '81123', 'Iktinou 143', '10' ),
( 'Chalandri ', '40', '62454', 'Iliados 124', '12' ),
( 'Chalandri ', '1', '29364', 'Iolis 22', '14' ),
( 'Chalandri ', '32', '96347', 'Ioustinianou 3', '10' ),
( 'Nea Smyrni ', '4', '29154', 'Ippokratous 116', '4' ),
( 'Nea Smyrni ', '30', '70198', 'Isaak Tasou 118', '1' ),
( 'Nea Smyrni ', '77', '66819', 'Ioanninon 48', '7' ),
( 'Nea Smyrni ', '1', '6339', 'Kabafi Konstantinou 12', '7' ),
( 'Nea Smyrni ', '58', '49002', 'Kabbadia Nikou 69', '13' ),
( 'Nea Smyrni ', '46', '40906', 'Kadmou 51', '12' ),
( 'Nea Smyrni ', '40', '28341', 'Kazouli 117', '3' ),
( 'Nea Smyrni ', '17', '5349', 'Kalabruton 133', '4' ),
( 'Nea Smyrni ', '51', '63001', 'Kalama 138', '12' ),
( 'Nea Smyrni ', '48', '28911', 'Kalamarias 98', '6' ),
( 'Nea Smyrni ', '22', '46632', 'Kalbou Andrea 111', '1' ),
